TiNoq Sense - Monthly Report - 5/8/2025 to 5/27/2025
Generated on: 5/27/2025, 5:29:53 PM
Report period: 5/8/2025, 12:00:00 AM to 5/27/2025, 5:29:30 PM
Generated by: admin

SUMMARY STATISTICS
------------------
Temperature (°C):
  Minimum: 23.2
  Maximum: 35.0
  Average: 26.3

Humidity (%):
  Minimum: 40.9
  Maximum: 71.1
  Average: 50.9

DETAILED READINGS
------------------
Timestamp            | Temperature (°C) | Humidity (%)
---------------------|-----------------|-------------
5/8/2025, 2:00:00 AM  | 33.9             | 67.9
5/8/2025, 8:00:00 AM  | 32.3             | 66.7
5/8/2025, 2:00:00 PM  | 30.7             | 65.4
5/8/2025, 8:00:00 PM  | 29.4             | 64.8
5/9/2025, 2:00:00 AM  | 27.8             | 63.5
5/9/2025, 8:00:00 AM  | 26.7             | 62.2
5/9/2025, 2:00:00 PM  | 26.2             | 61.5
5/9/2025, 8:00:00 PM  | 25.3             | 60.7
5/10/2025, 2:00:00 AM | 25.4             | 61.0
5/10/2025, 8:00:00 AM | 26.7             | 61.0
5/10/2025, 2:00:00 PM | 26.9             | 61.4
5/10/2025, 8:00:00 PM | 26.9             | 61.7
5/11/2025, 2:00:00 AM | 27.5             | 62.7
5/11/2025, 8:00:00 AM | 28.5             | 63.7
5/11/2025, 2:00:00 PM | 28.8             | 64.3
5/11/2025, 8:00:00 PM | 29.2             | 64.9
5/12/2025, 2:00:00 AM | 29.7             | 65.1
5/12/2025, 8:00:00 AM | 30.9             | 65.1
5/12/2025, 2:00:00 PM | 31.7             | 65.9
5/12/2025, 8:00:00 PM | 32.6             | 66.0
5/13/2025, 2:00:00 AM | 32.0             | 65.9
5/13/2025, 8:00:00 AM | 31.5             | 65.9
5/13/2025, 2:00:00 PM | 31.3             | 65.0
5/13/2025, 8:00:00 PM | 31.0             | 64.7
5/14/2025, 2:00:00 AM | 30.6             | 63.4
5/14/2025, 8:00:00 AM | 30.0             | 62.8
5/14/2025, 2:00:00 PM | 29.2             | 62.6
5/14/2025, 8:00:00 PM | 27.9             | 62.0
5/15/2025, 2:00:00 AM | 28.1             | 62.7
5/15/2025, 8:00:00 AM | 28.5             | 63.0
5/15/2025, 2:00:00 PM | 29.6             | 63.8
5/15/2025, 8:00:00 PM | 30.1             | 64.8
5/16/2025, 2:00:00 AM | 30.4             | 65.0
5/16/2025, 8:00:00 AM | 31.2             | 65.8
5/16/2025, 2:00:00 PM | 31.5             | 66.9
5/16/2025, 8:00:00 PM | 32.2             | 67.0
5/17/2025, 2:00:00 AM | 32.8             | 68.2
5/17/2025, 8:00:00 AM | 33.2             | 69.2
5/17/2025, 2:00:00 PM | 34.3             | 70.1
5/17/2025, 8:00:00 PM | 35.0             | 71.1
5/18/2025, 2:00:00 AM | 33.8             | 70.4
5/18/2025, 8:00:00 AM | 33.3             | 69.5
5/18/2025, 2:00:00 PM | 33.1             | 68.6
5/18/2025, 8:00:00 PM | 32.7             | 67.9
5/19/2025, 2:00:00 AM | 32.7             | 66.6
5/19/2025, 8:00:00 AM | 31.0             | 65.4
5/19/2025, 2:00:00 PM | 29.9             | 64.7
5/19/2025, 8:00:00 PM | 29.0             | 64.2
5/20/2025, 2:00:00 AM | 29.8             | 65.0
5/20/2025, 8:00:00 AM | 31.3             | 65.9
5/20/2025, 2:00:00 PM | 32.3             | 66.5
5/20/2025, 8:00:00 PM | 32.9             | 67.3
5/21/2025, 2:00:00 AM | 33.6             | 67.8
5/21/2025, 8:00:00 AM | 35.0             | 68.6
5/21/2025, 2:00:00 PM | 35.0             | 68.9
5/21/2025, 8:00:00 PM | 35.0             | 70.1
5/27/2025, 11:19:20 AM | 23.2             | 56.1
5/27/2025, 11:19:40 AM | 23.3             | 56.9
5/27/2025, 11:20:10 AM | 23.3             | 55.8
5/27/2025, 11:20:40 AM | 23.3             | 56.7
5/27/2025, 11:21:10 AM | 23.3             | 55.8
5/27/2025, 11:21:40 AM | 23.3             | 56.6
5/27/2025, 11:22:11 AM | 23.4             | 56.7
5/27/2025, 11:22:40 AM | 23.4             | 55.5
5/27/2025, 11:23:10 AM | 23.4             | 55.2
5/27/2025, 11:23:40 AM | 23.4             | 54.9
5/27/2025, 11:24:10 AM | 23.4             | 54.5
